family,n_images,intra_dist,intra_std,inter_dist,n_species,n_genre,prop_male,view
dromadidae,6,0.05815503001213074,0.020942315459251404,0.16720056533813477,1,1,0.5,Belly
dulidae,6,0.05866965651512146,0.01692698337137699,0.1356961727142334,1,1,0.5,Belly
elanidae,30,0.09563448280096054,0.02451416477560997,0.0779416561126709,6,3,0.5,Belly
emberizidae,220,0.12701761722564697,0.03898923844099045,0.017309129238128662,41,4,0.5227272727272727,Belly
estrildidae,639,0.17163729667663574,0.04195927828550339,0.021472930908203125,125,27,0.514866979655712,Belly
eulacestomatidae,3,0.05973994731903076,0.019883323460817337,0.08908402919769287,1,1,0.3333333333333333,Belly
eupetidae,6,0.052468251436948776,0.009491103701293468,0.13907408714294434,1,1,0.5,Belly
eurylaimidae,44,0.17201924324035645,0.051326192915439606,0.06585359573364258,9,6,0.5,Belly
eurypygidae,6,0.06395188719034195,0.01262570545077324,0.12547904253005981,1,1,0.5,Belly
falconidae,308,0.14752818644046783,0.03695537522435188,0.027049601078033447,59,11,0.5032467532467533,Belly
falcunculidae,6,0.07963800430297852,0.014920237474143505,0.15142345428466797,1,1,0.5,Belly
formicariidae,34,0.11652565002441406,0.03136640042066574,0.05301618576049805,10,2,0.6470588235294118,Belly
fregatidae,18,0.11408087611198425,0.0206115934997797,0.11373239755630493,5,1,0.5,Belly
fringillidae,947,0.14698100090026855,0.042615339159965515,0.02622079849243164,181,32,0.5269271383315733,Belly
furnariidae,889,0.12688566744327545,0.031232474371790886,0.017392218112945557,242,64,0.5106861642294713,Belly
galbulidae,74,0.15069937705993652,0.036821912974119186,0.05424302816390991,18,5,0.47297297297297297,Belly
gaviidae,21,0.06939845532178879,0.022717654705047607,0.15473634004592896,5,1,0.5238095238095238,Belly
glareolidae,96,0.10711443424224854,0.022411374375224113,0.04649662971496582,17,4,0.5,Belly
grallariidae,87,0.1117965430021286,0.02638840302824974,0.06469833850860596,30,4,0.5402298850574713,Belly
gruidae,50,0.16678307950496674,0.04124058410525322,0.08622139692306519,15,2,0.46,Belly
haematopodidae,45,0.1271897852420807,0.02753264456987381,0.05611461400985718,11,1,0.4666666666666667,Belly
heliornithidae,17,0.0971577987074852,0.03401929885149002,0.0952000617980957,3,3,0.5294117647058824,Belly
hemiprocnidae,24,0.11828994750976562,0.02598763257265091,0.10821902751922607,4,1,0.5,Belly
hirundinidae,399,0.13029149174690247,0.03695330396294594,0.04100346565246582,76,17,0.518796992481203,Belly
hydrobatidae,62,0.10143907368183136,0.031008940190076828,0.08025860786437988,13,3,0.532258064516129,Belly
hyliotidae,20,0.07781118154525757,0.022234179079532623,0.06660324335098267,4,1,0.5,Belly
hylocitreidae,3,0.05704076960682869,0.0077432976104319096,0.0811111330986023,1,1,0.6666666666666666,Belly
hypocoliidae,6,0.07167278975248337,0.01726352795958519,0.07554900646209717,1,1,0.5,Belly
ibidorhynchidae,6,0.06814198940992355,0.0091065289452672,0.154502272605896,1,1,0.5,Belly
icteridae,485,0.1864319145679474,0.0356149822473526,0.06259775161743164,96,29,0.5278350515463918,Belly
ifritidae,6,0.052621692419052124,0.017720038071274757,0.09988212585449219,1,1,0.5,Belly
indicatoridae,90,0.10813158750534058,0.023740967735648155,0.03302001953125,17,4,0.4888888888888889,Belly
irenidae,12,0.107428640127182,0.023096920922398567,0.16700613498687744,2,1,0.5,Belly
jacanidae,46,0.15878744423389435,0.03672623634338379,0.06743818521499634,8,6,0.5,Belly
lamproliidae,12,0.09992536157369614,0.02127072773873806,0.11076444387435913,2,2,0.5,Belly
laniidae,175,0.11960828304290771,0.04862963780760765,0.044036924839019775,31,4,0.5085714285714286,Belly
laridae,458,0.11676785349845886,0.0383908748626709,0.10590070486068726,98,15,0.5131004366812227,Belly
leiothrichidae,726,0.13329395651817322,0.034343600273132324,0.013467669486999512,133,13,0.5041322314049587,Belly
leptosomidae,6,0.12513194978237152,0.019259201362729073,0.10853332281112671,1,1,0.5,Belly
locustellidae,197,0.10410590469837189,0.028416752815246582,0.024867773056030273,47,14,0.5228426395939086,Belly
lybiidae,245,0.17523086071014404,0.056857023388147354,0.032916486263275146,43,7,0.5020408163265306,Belly
machaerirhynchidae,12,0.10425174236297607,0.052427761256694794,0.17076247930526733,2,1,0.5,Belly
macrosphenidae,91,0.10384570062160492,0.02725076861679554,0.030448973178863525,17,6,0.4835164835164835,Belly
malaconotidae,186,0.18535177409648895,0.05090649798512459,0.032701730728149414,45,7,0.521505376344086,Belly
maluridae,86,0.14534860849380493,0.050354380160570145,0.02614915370941162,21,5,0.5,Belly
megalaimidae,154,0.12326224148273468,0.040408480912446976,0.12120300531387329,28,3,0.5194805194805194,Belly
megapodiidae,34,0.11155901104211807,0.04421553760766983,0.07306623458862305,19,7,0.4411764705882353,Belly
melampittidae,6,0.06213641166687012,0.021801462396979332,0.1789211630821228,2,1,0.5,Belly
melanocharitidae,38,0.09677666425704956,0.028679264709353447,0.04643481969833374,9,3,0.5789473684210527,Belly
melanopareiidae,8,0.08271750062704086,0.010601290501654148,0.07853800058364868,3,1,0.5,Belly
meliphagidae,699,0.1439390331506729,0.048170946538448334,0.007088184356689453,159,38,0.5293276108726752,Belly
menuridae,6,0.09160742163658142,0.012691918760538101,0.09859490394592285,2,1,0.5,Belly
meropidae,150,0.16488245129585266,0.044830355793237686,0.12757647037506104,26,3,0.5066666666666667,Belly
mesitornithidae,9,0.08061365783214569,0.019253376871347427,0.0757562518119812,3,2,0.5555555555555556,Belly
mimidae,170,0.1227092295885086,0.03830254077911377,0.02434062957763672,33,9,0.5294117647058824,Belly
mitrospingidae,16,0.129863440990448,0.04529639706015587,0.056456029415130615,4,3,0.625,Belly
modulatricidae,13,0.08804795145988464,0.016175931319594383,0.06107127666473389,3,2,0.5384615384615384,Belly
mohouidae,17,0.11519411951303482,0.0211801715195179,0.03525841236114502,3,1,0.5294117647058824,Belly
momotidae,54,0.12196597456932068,0.03510773181915283,0.11795485019683838,10,6,0.5555555555555556,Belly
monarchidae,295,0.16410060226917267,0.0468582920730114,0.0296095609664917,67,12,0.5288135593220339,Belly
motacillidae,312,0.1252274364233017,0.04848421737551689,0.030612707138061523,58,6,0.5096153846153846,Belly
